yr,mo,period,Treatment_Number,plot,stake,east,north,species,sex,reprod,vagina,nipples,pregnant,wgt,tag,note2,ltag,note3,note5
2006,12,343,1,1,11,681207.279,3535281.37,PB,F,,,E,P,33,0E6432,,0,,
2005,9,327,1,1,11,681207.279,3535281.37,PP,F,,,,,14,92308,*,0,,
2006,7,338,1,1,11,681207.279,3535281.37,PP,F,,,E,P,20,203B67,,0,,
2007,4,347,1,1,11,681207.279,3535281.37,PB,F,,,,,34,3E094B,*,,,
2007,3,346,1,1,11,681207.279,3535281.37,PB,M,,,,,39,794128,,,,
2007,10,353,1,1,11,681207.279,3535281.37,PB,F,,,,,31,60072A,,,,
2007,9,352,1,1,11,681207.279,3535281.37,PB,F,,,,,31,102A5F,,,,
2008,6,362,1,1,11,681207.279,3535281.37,PP,F,,,E,,14,1F6D17,*,,,
2007,12,355,1,1,11,681207.279,3535281.37,PB,F,,,,,28,102A5F,,,,
2008,3,358,1,1,11,681207.279,3535281.37,PB,M,,,,,49,436A17,*,,,
2008,6,361,1,1,11,681207.279,3535281.37,DO,M,,,,,46,4D4329,,,,
2008,4,359,1,1,11,681207.279,3535281.37,DO,M,,,,,55,4D4329,,,,
2009,3,371,1,1,11,681207.279,3535281.37,DO,M,,,,,50,3F7433,*,,,
2002,11,293,1,1,11,681207.279,3535281.37,PB,F,,,,,31,006F6A,*,0,,
2001,8,279,1,1,11,681207.279,3535281.37,PB,M,J,,,,20,4A2937,*,0,,
2002,10,292,1,1,11,681207.279,3535281.37,PP,F,,,,,17,310762,*,0,,
2000,7,266,1,1,11,681207.279,3535281.37,PB,M,,,,,20,645927,*,0,,
2001,5,276,1,1,11,681207.279,3535281.37,DM,M,,,,,48,461E1C,,0,,
2000,11,270,1,1,11,681207.279,3535281.37,PB,F,,,,,28,7A6475,,0,,
2004,10,317,1,1,11,681207.279,3535281.37,PB,M,,,,,32,757507,,0,,
2005,5,323,1,1,11,681207.279,3535281.37,DO,F,,,B,,53,6B0D62,*,0,,
2004,11,318,1,1,11,681207.279,3535281.37,PP,F,J,,,,13,0E5165,*,0,,
2004,7,314,1,1,11,681207.279,3535281.37,PB,M,J,,,,18,757507,*,0,,
2005,1,320,1,1,11,681207.279,3535281.37,PB,M,,,,,37,757507,,0,,
2003,2,296,1,1,11,681207.279,3535281.37,DO,F,,S,R,,59,0C2314,,0,,
2004,1,308,1,1,11,681207.279,3535281.37,PB,F,,,,,32,3B472B,,0,,
2002,12,294,1,1,11,681207.279,3535281.37,PB,F,,,,,22,006F6A,,0,,
2003,5,299,1,1,11,681207.279,3535281.37,PP,M,,,,,18,0D2C4B,*,0,,
2003,9,304,1,1,11,681207.279,3535281.37,PB,F,,,,,29,3D587F,*,0,,
2004,3,310,1,1,11,681207.279,3535281.37,DM,M,,,,,43,495848,*,0,,
2006,10,341,1,1,12,681213.545,3535281.561,PP,F,,,E,P,21,203B67,,0,,
2005,7,325,1,1,12,681213.545,3535281.561,PB,M,,,,,20,7B2948,*,0,,
2005,8,326,1,1,12,681213.545,3535281.561,PB,F,,,E,,29,574C39,*,0,,
2006,3,333,1,1,12,681213.545,3535281.561,DM,F,,S,,,39,,,0,,
2007,4,347,1,1,12,681213.545,3535281.561,PB,M,,,,,40,794128,,,,
2005,9,328,1,1,12,681213.545,3535281.561,PB,M,,,,,30,7B294B,,0,,
2007,9,352,1,1,12,681213.545,3535281.561,PP,F,,,,,14,470249,,,,
2008,4,359,1,1,12,681213.545,3535281.561,DM,M,,,,,38,253614,,,,
