"","estimate","se","lcl","ucl"
"S:(Intercept)",1.2849181,0.016173,1.2532189,1.3166172
"S:guild2",-0.7863825,0.0765993,-0.9365171,-0.636248
"S:guild3",-0.6450865,0.0912955,-0.8240258,-0.4661473
"S:guild4",-0.0654052,0.0560029,-0.1751708,0.0443604
"p:(Intercept)",0.216081,0.0187732,0.1792855,0.2528765
"p:guild2",-1.3649466,0.1058788,-1.572469,-1.1574243
"p:guild3",-1.2666846,0.1251349,-1.5119489,-1.0214202
"p:guild4",-0.4880002,0.0653295,-0.616046,-0.3599544
"Psi:(Intercept)",-2.3538801,0.0342525,-2.4210151,-2.2867451
"Psi:guild2",0.2098357,0.1854876,-0.15372,0.5733915
"Psi:guild3",0.0991229,0.2345839,-0.3606616,0.5589074
"Psi:guild4",0.5130457,0.1125711,0.2924064,0.733685
