"","estimate","se","lcl","ucl"
"S:(Intercept)",1.1481896,0.050941,1.0483452,1.248034
"S:species2",0.0993678,0.0674881,-0.0329089,0.2316445
"S:species3",0.2187882,0.0574961,0.1060959,0.3314805
"S:species4",0.2877076,0.0584458,0.173154,0.4022613
"S:species5",-0.0945648,0.1317599,-0.3528141,0.1636845
"S:species6",-0.4480993,0.1142034,-0.671938,-0.2242606
"S:species7",-1.0044066,0.1807238,-1.3586253,-0.6501878
"S:species8",-0.6434699,0.1542329,-0.9457664,-0.3411734
"S:species9",-1.3157315,0.2204125,-1.74774,-0.8837231
"S:species10",-0.5867539,0.1530833,-0.8867973,-0.2867106
"S:species11",0.2879588,0.170652,-0.0465191,0.6224367
"S:species12",0.0275406,0.0757324,-0.120895,0.1759762
"S:species13",0.4856794,0.1968437,0.0998657,0.8714932
"p:(Intercept)",1.0044394,0.0700162,0.8672076,1.1416712
"p:species2",-0.182115,0.0898949,-0.3583091,-0.0059209
"p:species3",0.0351147,0.0776669,-0.1171125,0.1873418
"p:species4",-1.9981628,0.0773925,-2.149852,-1.8464736
"p:species5",-2.4139638,0.1723803,-2.7518292,-2.0760984
"p:species6",-1.9363714,0.1572688,-2.2446183,-1.6281245
"p:species7",-1.224846,0.2833093,-1.7801322,-0.6695598
"p:species8",-2.8803499,0.2066174,-3.28532,-2.4753799
"p:species9",-2.0992294,0.3217475,-2.7298545,-1.4686043
"p:species10",-1.5259648,0.2125533,-1.9425694,-1.1093602
"p:species11",-2.0963203,0.1988986,-2.4861616,-1.706479
"p:species12",-1.2323992,0.0968399,-1.4222053,-1.042593
"p:species13",-1.5788133,0.1942373,-1.9595185,-1.1981081
"Psi:(Intercept)",-2.1649764,0.0946163,-2.3504243,-1.9795284
"Psi:species2",0.1895145,0.1218021,-0.0492176,0.4282466
"Psi:species3",-0.4087002,0.1080814,-0.6205398,-0.1968607
"Psi:species4",-0.1509249,0.1201257,-0.3863713,0.0845214
"Psi:species5",0.0344131,0.347988,-0.6476433,0.7164695
"Psi:species6",0.1108283,0.2686302,-0.415687,0.6373436
"Psi:species7",0.1454747,0.4188561,-0.6754833,0.9664327
"Psi:species8",-0.2288735,0.3621665,-0.9387199,0.4809729
"Psi:species9",-1.2100363,0.7416264,-2.6636241,0.2435515
"Psi:species10",0.4495353,0.3169728,-0.1717314,1.070802
"Psi:species11",-0.4430477,0.4472482,-1.3196542,0.4335588
"Psi:species12",0.2271523,0.148345,-0.0636039,0.5179084
"Psi:species13",1.2920963,0.3986329,0.5107758,2.0734168
