"","estimate","se","lcl","ucl","fixed","note"
"S s1 gfemale3110 c261 c1 a0 o1 t261",0.6547154,0.0203121,0.6138969,0.693374,"     ","                    "
"S s1 gfemale111 c261 c1 a0 o1 t261",0.7832858,0.0027454,0.7778566,0.7886184,"     ","                    "
"S s1 gfemale4121 c261 c1 a0 o1 t261",0.7719778,0.009438,0.752953,0.7899463,"     ","                    "
"S s1 gfemale262 c261 c1 a0 o1 t261",0.6221151,0.0176016,0.5870505,0.6559473,"     ","                    "
"p s1 gfemale3110 c261 c1 a1 o1 t262",0.2591092,0.0237505,0.2153299,0.3082923,"     ","                    "
"p s1 gfemale111 c261 c1 a1 o1 t262",0.553811,0.0046389,0.5447017,0.5628844,"     ","                    "
"p s1 gfemale4121 c261 c1 a1 o1 t262",0.432436,0.0153578,0.4026191,0.4627506,"     ","                    "
"p s1 gfemale262 c261 c1 a1 o1 t262",0.2406963,0.019044,0.205364,0.2799658,"     ","                    "
"Psi s1 to2 gfemale3110 c261 c1 a0 o1 t261",0.0949399,0.0199409,0.0624085,0.1418631,"     ","                    "
"Psi s1 to2 gfemale111 c261 c1 a0 o1 t261",0.0867579,0.0027139,0.0815842,0.0922267,"     ","                    "
"Psi s1 to2 gfemale4121 c261 c1 a0 o1 t261",0.1369526,0.0126746,0.1139502,0.1637403,"     ","                    "
"Psi s1 to2 gfemale262 c261 c1 a0 o1 t261",0.1048891,0.0171154,0.0757638,0.1434726,"     ","                    "
"p s1 gfemale3110 c261 c1 a6 o6 t267",0,0,0,0,"     "," Fixed              "
