"","estimate","se","lcl","ucl"
"S:(Intercept)",1.1481894,0.0509424,1.0483423,1.2480365
"S:species2",0.0993688,0.0674897,-0.0329111,0.2316487
"S:species3",0.218789,0.0574973,0.1060942,0.3314838
"S:species4",0.2877077,0.058447,0.1731515,0.4022638
"S:species5",-0.0945631,0.131761,-0.3528147,0.1636884
"S:species6",-0.4481055,0.1142033,-0.6719438,-0.2242671
"S:species7",-1.0044099,0.1807257,-1.3586324,-0.6501874
"S:species8",-0.6434787,0.154236,-0.9457812,-0.3411763
"S:species9",-1.3157232,0.2204235,-1.7477533,-0.8836931
"S:species10",-0.5867477,0.1530892,-0.8868025,-0.2866929
"S:species11",0.2879713,0.1706504,-0.0465034,0.622446
"S:species12",0.0275417,0.0757336,-0.1208962,0.1759796
"S:species13",0.4856826,0.1968456,0.0998651,0.8715
"p:(Intercept)",1.0044466,0.070016,0.8672153,1.1416779
"p:species2",-0.1821241,0.0898944,-0.3583172,-0.0059311
"p:species3",0.0351086,0.0776668,-0.1171183,0.1873355
"p:species4",-1.9981701,0.0773922,-2.1498589,-1.8464814
"p:species5",-2.4139872,0.172382,-2.7518559,-2.0761186
"p:species6",-1.9363777,0.1572668,-2.2446206,-1.6281348
"p:species7",-1.2248319,0.2833114,-1.7801223,-0.6695414
"p:species8",-2.8803515,0.2066183,-3.2853235,-2.4753796
"p:species9",-2.0992422,0.3217626,-2.7298969,-1.4685875
"p:species10",-1.5259614,0.2125572,-1.9425735,-1.1093493
"p:species11",-2.0963379,0.1988985,-2.4861791,-1.7064968
"p:species12",-1.2324111,0.0968399,-1.4222174,-1.0426048
"p:species13",-1.5788031,0.1942376,-1.9595088,-1.1980974
"Psi:(Intercept)",-2.3538815,0.1073622,-2.5643115,-2.1434515
"Psi:species2",0.4340063,0.1326395,0.1740329,0.6939797
"Psi:species3",-0.1310261,0.1207769,-0.3677489,0.1056966
"Psi:species4",0.5520368,0.1243471,0.3083165,0.7957572
"Psi:species5",0.4999905,0.3170086,-0.1213464,1.1213273
"Psi:species6",2.2545081,0.1999145,1.8626756,2.6463406
"Psi:species7",2.4279765,0.2927526,1.8541814,3.0017716
"Psi:species8",1.9835108,0.2642358,1.4656086,2.501413
"Psi:species9",0.8032651,0.4297888,-0.039121,1.6456512
"Psi:species10",1.5616513,0.2684423,1.0355045,2.0877982
"Psi:species11",1.1499166,0.3133612,0.5357286,1.7641046
"Psi:species12",2.3131842,0.1333754,2.0517685,2.5745999
"Psi:species13",2.8799641,0.2696581,2.3514341,3.408494
